Ancient tsunami proof found in coastlines of Kachchh: Study,"Researchers have found geological evidence for a palaeo-tsunami in northern Arabian Sea, believed to have taken place in 1008 AD, in the coastlines of Kachchh. Researchers identified a 250-km-long sand sheet deposition dating back to a thousand years, which is indicator of an underwater earthquake and an ancient tsunami. The coastline has unique geomorphic features of sediments, researchers said."
"India ranked 78 on global corruption index, US drops out of top 20","India has been ranked 78 on the 'Corruption Perceptions Index 2018' released by the Transparency International, moving up three places from 2017. The US has been ranked 22, dropping out of top 20 on the index for the first time since 2011. Denmark topped the index, which ranks 180 countries and territories. "
UP government directs officials to barcode stray cows,"Uttar Pradesh government has asked officials to barcode stray cows and set up temporary cow shelters at unused government buildings. The shelters can be established at cooperative institutions and at institutes of the Central government which have been lying closed, a government order read. It also suggested Radio-Frequency Identification (RFID) technology to be used to scan the barcodes. n"
India's Lambda buys US research firm Novum Pharmaceutical,"Ahmedabad-headquartered Lambda Therapeutic Research on Tuesday announced the acquisition of US-based Novum Pharmaceutical Research Services. The Indian contract research organisation said this is its second acquisition in North America following the acquisition of the R&D facilities of Canada's Biovail in 2010. Apart from India, Lambda has operations in Canada, Poland and the UK."
" Confiscated benami assets worth â¹6,900 crore: I-T Dept","The Income Tax Department on Tuesday said it has confiscated assets worth â¹6,900 crore so far under the anti-benami transactions law. Those who ""abet and induce"" benami transactions, benamidar and beneficiaries may face rigorous imprisonment up to 7 years besides being liable to pay fine, it added. The tax department started initiating action under the new law from November 2016."
Bank of Baroda Q3 profit surges fourfold to â¹471 crore,"Bank of Baroda on Tuesday posted 321% year-on-year rise in profit at â¹471 crore for the quarter ended December 31, 2018. The net interest income rose 16.6% to â¹4,744 crore compared to â¹4,068 crore in the same period a year ago. The lender's asset quality eased with gross bad loans declining to 11.01% as against 11.3% in the year-ago period."
"Timely resolution by NCLT can free up â¹67,000 cr: Report","Conclusion of cases under the bankruptcy law by the NCLT within 180-270 days mandated by law can release up to â¹67,000 crore to lenders, rating agency ICRA said. Of the 1,484 cases that have been sent to NCLT since 2016, 898 are yet to be resolved, it added. Out of this, 31% have exceeded the 270-day timeline, it further said."
Dewan Housing Finance shares plunge 11% after media report,"Dewan Housing Finance (DHFL) shares fell as much as 11% on Tuesday following a media report that alleged over â¹31,000-crore fraud by its controlling shareholders, the Wadhawans. The report alleged they diverted funds, including money borrowed from state-run banks, to shell companies. DHFL in response said the report was made with ""mala fide intent"" to damage its ""goodwill and reputation""."
Jet Airways grounds 3 more planes over rental dues: Reports,"Cash-strapped Jet Airways on Tuesday reportedly grounded three Boeing 737 planes due to non-payment of lease rentals, leading to cancellation of around 20 domestic flights. The number of aircraft grounded by the carrier due to rental payment issues now stand at six, reports added. The carrier has about 123 aircraft in its fleet, including 5 new Boeing 737 MAXs."
Djokovic signs his own jacket and gives it to empty-handed fan,"While signing autographs for fans following his Australian Open 2019 victory, world number one men's tennis player Novak Djokovic approached a fan who had climbed a partition to get close to him. After realising that the fan didn't have anything for him to sign on, Djokovic signed his own jacket, took it off and gave it to the fan."
"Spectator gets hit on face by six, returns with ice pack and beer","Brisbane Heat wicketkeeper Jimmy Peirson slammed a six off Hobart Hurricanes' James Faulkner which ended up hitting a spectator on his face. The spectator was hit on the face while attempting to catch the six in the 17th over, however, he escaped injury. The fan was seen in the last over, applying ice pack to his forehead and drinking beer. "
I now have a metal hip: Murray undergoes 2nd hip surgery in a year,"Former world number one men's tennis player Andy Murray underwent a hip resurfacing surgery in London on Monday. The 31-year-old, who had undergone his first hip surgery in January last year, shared pictures of himself as well as his hip's X-ray on Instagram, writing, ""I now have a metal hip...Hopefully that will be the end of my hip pain."" "
"What is Beating Retreat ceremony, held 3 days after Republic Day?","The Beating Retreat organised annually at Delhi's Vijay Chowk on January 29 signifies the end of the four-day-long Republic Day celebrations. The ceremony marks the event when the troops ceased fighting, sheathed their arms and returned to the camps at the sounding of the Retreat. The ceremony includes performances by the bands of the Indian military and various police contingents."
UP CM Yogi takes holy dip in Ganga post cabinet meet at Kumbh Mela,"Uttar Pradesh CM Yogi Adityanath on Tuesday took a holy dip at the Sangam along with other state cabinet ministers following their meeting at the Kumbh Mela in Prayagraj. The cabinet meeting at Kumbh Mela was the first by UP CM Yogi outside Lucknow. It was held at the ""integrated control and command centre"" set up at Kumbh Mela venue. "
"Accenture to sell software that allowed it to cut 40,000 jobs","Global consulting firm Accenture said it will begin selling automation software that has already eliminated about 40,000 internal roles. Accenture's SynOps system suggests ways to streamline and automate processes in areas such as finance and accounting, marketing and procurement. The company said it took five years to build the SynOps platform."
"Zarina Wahab, Barkha Bisht Sengupta join PM Modi biopic cast","Actresses Zarina Wahab and Barkha Bisht Sengupta have joined the cast of the upcoming biopic 'PM Narendra Modi', starring Vivek Oberoi. Actors Manoj Joshi and Prashant Narayanan have also been roped in for the biopic, the film's makers announced. The film, directed by Omung Kumar, will also feature Boman Irani and Darshan Kumaar."
"Overwhelming to be compared to Ranbir, Ranveer: Rajkummar","Actor Rajkummar Rao has said that he finds it ""overwhelming"" to be compared to Ranbir Kapoor and Ranveer Singh. ""I take it as a compliment...I take it with a lot of gratitude because you are comparing me with two great actors,â he added. Rajkummar further said he doesn't take competition into account and only hopes to grow as an actor. "
Charges dropped against SRK in Alibaug benami property case,"Shah Rukh Khan was dismissed of the charge of being a beneficiary of benami property in Maharashtra's Alibaug. The Income Tax Department issued an attachment order in February 2018, stating that the property was held by the company 'Deja Vu Farms', further naming Shah Rukh as a beneficiary. The Adjudicating Authority (AA) revoked the order, calling it 'baseless' and 'coloured'. "
Nana Patekar's mother passes away aged 99,"Nana Patekar's mother Nirmala Patekar passed away on Tuesday morning, aged 99. The actor and several close family members were present at Oshiwara crematorium in Mumbai where Nirmala's last rites were performed, as per reports. Nana, who lost his father when he was 28 years old, lived with his mother in Maharashtra's Murud before she breathed her last, reports suggested. "
Ravi Kishan's daughter to debut opposite Padmini Kolhapure's son,"Actor Ravi Kishan's daughter Riva will make her acting debut opposite actress Padmini Kolhapure's son Priyaank in the film 'Sab Kushal Mangal', which will also feature Akshaye Khanna in a lead role. The film will reportedly be directed by Karan Kashyap and produced by filmmaker Nitin Manmohan's daughter Prachi. Shooting for the film will begin in March, as per reports."
Transferred as complained about Rao's misconduct: CBI SP Balaji,"CBI SP T Rajah Balaji has accused that he has been transferred by the interim CBI Director M Nageswara Rao because he complained about Rao's ""misconduct"" to the then director in March 2017. Balaji was recently transferred from Delhi Anti-Corruption Branch to Ghaziabad CBI Academy. Balaji has also approached the Supreme Court with a petition challenging his transfer, report said."
No team can stand in front of this Indian side: Harbhajan ,"After India registered a 3-0 lead over New Zealand, Harbhajan Singh said, "" [N]o team can stand in front of our team. It is great to see the way our team is playing."" Comparing the two teams, Harbhajan said, ""New Zealand is a good team but India were better."" India will play two more ODIs against New Zealand."
Aus should watch out for Harmanpreet at T20 WC 2020: Healy,"Australia's wicketkeeper-batswoman Alyssa Healy has said that the Australian team needs to be wary of India's women's T20I team captain Harmanpreet Kaur at the ICC Women's T20 World Cup next year. Harmanpreet, who was named in the ICC Team of the Year 2018, helped India reach the semi-finals of the ICC Women's World T20 2018 last November."
Virat Kohli is an unbelievable player: Tom Curran,"England cricketer Tom Curran praised Indian captain Virat Kohli, saying, ""He's an unbelievable player."" Curran on being asked about his plans to dismiss the Indian captain at the next T20 World Cup, said, ""Hopefully not with a no-ball! We'll see."" The T20 World Cup will be played in Australia, with India facing England at the MCG on November 1, 2020."
"Rio gold-winner to undergo knee surgery, vows to return stronger","Rio Olympics gold-winner Carolina Marin is set to undergo knee surgery after having withdrawn from the final of the Indonesia Masters while playing against India's Saina Nehwal. Marin, who is set to be sidelined for around six months, said, ""Time to be ready for the hardest battle, but I have no doubts that I'll be back stronger."""
"Man falls asleep on live video, wakes up to over 200 viewers",Amazon-owned video platform Twitch streamer 'JesseDStreams' fell asleep for about three hours while live streaming on the platform and woke up to over 200 viewers and multiple money donations. He was filming in the platform's 'Just Chatting' category and fell asleep a few hours into streaming. A clip from the video has since generated over 2 million views on Twitch.
Will pass Women's Reservation Bill if voted to power: Rahul,"After promising Minimum Income Guarantee for every poor person, Congress President Rahul Gandhi on Tuesday said that if voted to power in 2019, Congress will pass the Women's Reservation Bill. ""We want to see women in positions of leadership,"" he added. The Bill seeks 33% reservation of seats for women in Lok Sabha and all legislative assemblies."
TMC to assess MPs performance before giving LS polls tickets,"The Trinamool Congress (TMC) will evaluate the performance of its MPs, both inside and outside Parliament, before considering them for renomination for the 2019 Lok Sabha polls, a report said. ""Just because a person is...sitting MP, wouldn't ensure...he or she is entitled for...ticket,"" a party official said. TMC chief Mamata Banerjee will take final call on ticket distributions, official added."
Cong has become '3G' from '2G' after Priyankaâs entry: Shah,"Talking about Priyanka Gandhi's entry into politics, BJP President Amit Shah on Tuesday said that with the entry of a third 'G', Congress will indulge in more corruption. ""During the UPA...the government was '2G', Sonia Gandhi and Rahul Gandhi. They did corruption...worth â¹12 lakh crore,"" he added. Shah was referring to the 2G spectrum scam under the erstwhile Congress-led Centre."
US wellness startup Hims becomes unicorn after raising $100M,"US-based wellness startup Hims has become a unicorn after it raised $100 million in a venture-funding round with a pre-money valuation of $1 billion, as confirmed by TechCrunch. A growth-stage investor led the round with participation from existing investors. Founded in 2017, the startup, targeted at males, offers hair-loss products and erectile dysfunction medication, among others."
"Melting Arctic glaciers reveal landscapes unseen for 40,000 years","Arctic Canada glaciers have retreated to reveal landscapes, which were continuously covered with ice for over 40,000 years, as per Colorado University Boulder researchers. Radiocarbon dating was used on 48 plant samples collected from Baffin Island ice caps to determine its ice cover history. The research found that modern temperatures represented warmest century for the region in 1,15,000 years."
Woman stabbed to death by husband in her office in Thane,"A man allegedly stabbed his wife to death in her office on Tuesday in Thane's Bhayander, police said. A fight broke out between the couple in the office following which the man pulled out a knife and stabbed her multiple times. The woman was rushed to a nearby hospital where doctors declared her dead on arrival, the police added."
US imposes sanctions on Venezuelan state-owned oil company,"The US on Monday imposed sanctions on Venezuelan state-owned oil firm PDVSA, aimed at pressuring President Nicolas Maduro to step down. Proceeds from purchases of Venezuelan oil by US entities would flow into blocked accounts and be released only to the legitimate leaders of Venezuela, the US said. It had recognised Venezuela's opposition leader Juan Guaido as the interim President."
"5 killed, 25 injured in terror attack at Pak police station",At least five people were killed and around 25 others were injured when gunmen attacked a police station in Pakistan's Balochistan on Tuesday. Four gunmen reportedly detonated a grenade before opening fire on police and candidates who were taking an exam to join the force. All terrorists were killed by the security forces in an operation spanning over eight hours.
"Rana Kapoor, Madhu Kapur to nominate 1 director each to Yes Bank","The two promoter groups of Yes Bank, led by Rana Kapoor and Madhu Kapur, have agreed to nominate one representative director each on the bank's board. The directors' names will be announced at the next meeting in April, the bank said. Yes Bank recently hired Deutsche Bank India chief Ravneet Gill as new MD and CEO to replace Rana Kapoor."
"Axis Bank Q3 profit more than doubles to â¹1,681 crore ","Private lender Axis Bank on Tuesday reported 131% year-on-year rise in its profit at â¹1,681 crore for the December quarter, beating estimates. The rise was boosted by higher net interest income which rose 18% to â¹5,604 crore. The lender reported an improvement in its asset quality with gross bad loans dipping to 5.75% as against 5.96% in the previous quarter."
Video: Rekha moves away on realising sheâs posing near Amitabh's pic,"A video of 64-year-old actress Rekha has gone viral, which shows her moving to another place on realising she was posing for the photographers in front of 76-year-old actor Amitabh Bachchan's photo. The video was taken at the launch of photographer Dabboo Ratnani's calendar on Monday. Bachchan, Kartik Aaryan and Alia Bhatt are among the actors who shot for calendar. "
"Cancer survivor, living best life at 46: Lisa on being called too old","nAfter a man commented 'too old' on 46-year-old actress Lisa Ray's picture, she responded to him by tweeting, ""It's a blessing to be wise, a cancer survivor and living my best life at 46.â ""Honestly not hurt, but adding 'too' to 'old' is a symptom of society's unrealistic expectations for women. Imp. to embrace age,â Ray said in another tweet."
Our stars play only positive roles all their lives: Nawazuddin,"Actor Nawazuddin Siddiqui, in a recent interview, said Bollywood stars play only positive roles throughout their lives. On being asked why he plays ""so many negative roles"" on screen, Nawazuddin said negative characters used to exist in earlier films when the villains only had negative qualities. ""Why don't you ask stars...why don't they play negative roles?"" he added."
"US magazine calls pranayama cardiac coherence breathing, criticised","A recent tweet by Scientific American has been criticised by Indian users including Congress MP Shashi Tharoor for calling ancient technique of pranayama ""cardiac coherence breathing"". The magazine's article, however, mentioned pranayama yoga was the first to build a theory around respiratory control. ""It's taking the West a few millennia to learn what our ancients taught us,"" Tharoor tweeted."
"US doctor prescribes marijuana cookies to 4-yr-old, loses licence","The Medical Board of California has revoked a doctor's licence over ""negligent"" diagnosis of a four-year-old boy and prescribing marijuana-based cookies in 2012 for attention deficit and bipolar disorder. The doctor previously prescribed medical marijuana to the boy's father and his older brother, to treat similar conditions. The doctor's lawyer claimed the revocation has been put on hold for now."
Ex-IAF officer's son gets 10yrs in Saudi jail over tweet on Prophet,"A former Indian Air Force officer's son from Kerala has been sentenced to 10 years in jail and fined around â¹30 lakh in Saudi Arabia on charges of blasphemy. He was charged over his tweet on Prophet Muhammad while replying to a Muslim woman from London. He was sentenced to five-year jail last year, but it was doubled last week."
Housekeeper stuck in US billionaire's lift freed after 3 days,"A US woman is recovering in a hospital after she was rescued from an elevator of a billionaire's townhouse in New York where she was stuck for three days. Firefighters forced open the doors of the elevator, which was stuck between the second and third floors. The woman, a housekeeping employee, was freed after a 911 call."
US man saves woman's life by giving CPR he learned from TV show,A US tyre shop technician saved a woman's life by giving CPR which he had learned from a scene in the American sitcom 'The Office'. Cross Scott was test driving a customer's vehicle when he found the unconscious woman in a car which had its hazard lights flashing. He smashed the car's window and pulled her out before giving CPR.
